CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0022,Male,0,No,Yes,10,No,No phone service,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,104.35,1065.97,Yes
CUST0023,Female,1,Yes,Yes,32,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Credit card (automatic),106.78,3411.49,Yes
CUST0024,Female,1,Yes,No,52,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,84.14,4331.32,No
CUST0025,Female,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,One year,Yes,Mailed check,98.78,1511.46,No
CUST0026,Female,0,Yes,Yes,3,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Credit card (automatic),68.36,158.58,No
CUST0027,Female,0,Yes,Yes,37,No,No phone service,DSL,Yes,No,Month-to-month,Yes,Credit card (automatic),70.66,2634.49,No
CUST0028,Female,0,Yes,No,40,Yes,No,Fiber optic,Yes,No,One year,Yes,Bank transfer (automatic),83.61,3296.69,No
CUST0029,Female,0,No,Yes,40,Yes,No,DSL,No,Yes,Month-to-month,No,Electronic check,56.35,2290.23,No
CUST0030,Female,1,No,No,56,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Mailed check,67.43,3741.84,No
CUST0031,Male,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Electronic check,75.82,1745.29,Yes
CUST0032,Male,1,No,No,11,Yes,No,DSL,No,No,Month-to-month,No,Mailed check,67.65,753.87,No
CUST0033,Female,1,No,Yes,64,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,83.95,5368.55,Yes
CUST0034,Female,0,Yes,Yes,8,No,No phone service,Fiber optic,No,No,Month-to-month,No,Credit card (automatic),86.01,672.16,No
CUST0035,Female,0,Yes,No,56,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),26.63,1488.06,No
CUST0036,Male,1,Yes,No,60,Yes,No,Fiber optic,Yes,No,One year,No,Mailed check,89.86,5372.74,No
CUST0037,Female,1,Yes,No,10,Yes,No,DSL,No,Yes,Month-to-month,Yes,Electronic check,69.94,693.21,No
CUST0038,Male,0,No,Yes,39,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Credit card (automatic),108.26,4208.03,No
CUST0039,Male,0,Yes,No,28,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,32.91,928.1,No
CUST0040,Male,0,No,No,49,Yes,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),31.29,1507.0,No
CUST0041,Male,1,No,No,36,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Electronic check,88.93,3250.35,Yes
CUST0042,Male,0,Yes,No,13,Yes,Yes,DSL,No,No,Month-to-month,No,Mailed check,50.16,652.17,No
CUST0043,Female,0,No,No,36,Yes,No,No,No internet service,No internet service,Two year,No,Credit card (automatic),23.11,801.38,No
CUST0044,Female,0,Yes,No,26,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Electronic check,69.99,1817.45,No
CUST0045,Female,0,No,Yes,4,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,77.8,347.84,No
CUST0046,Female,0,No,No,64,Yes,Yes,Fiber optic,No,No,Two year,Yes,Electronic check,74.57,4724.66,No
CUST0047,Female,0,No,Yes,38,Yes,No,DSL,Yes,No,One year,Yes,Credit card (automatic),74.72,2857.32,No
CUST0048,Male,0,No,No,22,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Credit card (automatic),100.8,2222.4,No
CUST0049,Female,0,Yes,No,2,Yes,No,DSL,No,No,One year,Yes,Electronic check,74.27,115.5,Yes
CUST0050,Female,0,No,Yes,31,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,100.94,3160.89,No
CUST0051,Male,0,No,No,11,No,No phone service,No,No internet service,No internet service,One year,No,Bank transfer (automatic),34.83,370.02,Yes
CUST0052,Female,1,No,Yes,46,Yes,Yes,DSL,No,No,Month-to-month,No,Electronic check,67.59,3088.52,No
CUST0053,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.03,1460.67,No
CUST0054,Female,0,No,No,69,Yes,No,DSL,No,Yes,Two year,Yes,Electronic check,62.43,4321.52,No
CUST0055,Male,1,Yes,Yes,64,Yes,No,Fiber optic,No,No,Two year,Yes,Electronic check,82.48,5318.55,No
CUST0056,Female,0,Yes,No,10,Yes,No,DSL,No,No,Two year,Yes,Bank transfer (automatic),70.3,715.99,Yes
CUST0057,Female,0,No,No,40,No,No phone service,No,No internet service,No internet service,Month-to-month,No,Electronic check,27.37,1118.88,No
CUST0058,Male,0,Yes,Yes,24,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Credit card (automatic),78.59,1919.8,Yes
CUST0059,Male,0,No,Yes,44,No,No phone service,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,105.56,4600.11,Yes
CUST0060,Male,0,No,No,60,No,No phone service,No,No internet service,No internet service,One year,No,Electronic check,29.56,1801.2,No
CUST0061,Male,0,Yes,No,62,Yes,Yes,Fiber optic,No,No,Two year,No,Credit card (automatic),73.47,4566.51,No
CUST0062,Male,0,Yes,No,17,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.62,358.49,No
CUST0063,Male,0,No,Yes,65,Yes,Yes,Fiber optic,No,No,Two year,No,Bank transfer (automatic),85.62,5566.16,No
CUST0064,Male,0,Yes,Yes,57,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Electronic check,23.94,1322.83,No
CUST0065,Male,0,No,No,55,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,Bank transfer (automatic),106.59,5886.04,No
CUST0066,Female,0,Yes,Yes,53,Yes,No,DSL,Yes,No,Two year,Yes,Bank transfer (automatic),65.58,3480.39,No
CUST0067,Female,0,No,Yes,56,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Electronic check,80.49,4552.8,Yes
CUST0068,Male,0,Yes,Yes,9,Yes,Yes,DSL,No,No,Month-to-month,Yes,Credit card (automatic),70.94,606.77,No
CUST0069,Female,1,No,No,22,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer (automatic),73.22,1621.44,Yes
CUST0070,Female,0,Yes,No,13,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Mailed check,92.47,1173.27,No
CUST0071,Female,0,No,No,48,Yes,No,Fiber optic,No,No,One year,No,Mailed check,70.54,3397.33,Yes
CUST0072,Female,0,Yes,No,18,Yes,No,DSL,No,No,Two year,Yes,Bank transfer (automatic),47.81,882.84,No
CUST0073,Male,0,No,No,40,Yes,No,DSL,No,No,Two year,Yes,Electronic check,68.43,2759.43,No
CUST0074,Female,0,No,No,17,Yes,No,Fiber optic,No,No,One year,No,Mailed check,86.21,1497.08,No
CUST0075,Male,1,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.69,405.71,No
CUST0076,Female,1,Yes,No,15,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,103.41,1508.88,No
CUST0077,Female,0,Yes,No,63,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Bank transfer (automatic),78.39,4922.9,No
CUST0078,Female,1,No,No,39,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,83.13,3260.78,Yes
CUST0079,Male,0,No,No,13,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Credit card (automatic),104.8,1362.26,Yes
CUST0080,Female,0,No,No,32,Yes,No,DSL,No,Yes,Month-to-month,Yes,Electronic check,50.02,1569.71,Yes
CUST0081,Male,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Mailed check,78.76,714.11,Yes
CUST0082,Female,1,Yes,No,40,Yes,Yes,DSL,No,No,Month-to-month,Yes,Bank transfer (automatic),58.36,2325.14,No
CUST0083,Male,0,No,No,20,Yes,No,No,No internet service,No internet service,One year,No,Mailed check,19.26,374.2,No
CUST0084,Female,0,No,No,63,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Mailed check,56.28,3576.62,No
CUST0085,Male,0,No,No,44,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,100.64,4418.92,Yes
CUST0086,Male,0,Yes,No,38,Yes,No,DSL,No,No,Month-to-month,No,Mailed check,47.83,1770.19,Yes
CUST0087,Female,0,No,Yes,60,Yes,No,DSL,Yes,Yes,Two year,Yes,Electronic check,56.12,3323.01,No
CUST0088,Male,0,Yes,No,71,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.28,2327.5,No
CUST0089,Female,0,Yes,Yes,48,Yes,No,DSL,No,No,Month-to-month,Yes,Electronic check,51.78,2531.5,Yes
CUST0090,Female,0,No,No,18,Yes,Yes,DSL,No,No,One year,Yes,Credit card (automatic),64.69,1183.26,No
CUST0091,Female,0,No,No,16,Yes,Yes,Fiber optic,Yes,Yes,One year,No,Bank transfer (automatic),71.99,1138.28,No
CUST0092,Female,0,No,No,55,Yes,No,DSL,Yes,No,Two year,Yes,Mailed check,46.68,2611.26,No
CUST0093,Female,0,Yes,No,39,Yes,Yes,DSL,No,Yes,Month-to-month,No,Mailed check,48.63,1912.85,Yes
CUST0094,Female,0,Yes,No,68,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),34.7,2394.03,No
CUST0095,Female,1,No,Yes,59,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Credit card (automatic),105.41,6245.78,No
CUST0096,Female,0,No,No,62,Yes,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,34.26,2112.03,No
CUST0097,Female,0,Yes,Yes,13,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,21.42,276.33,Yes
CUST0098,Female,0,Yes,No,6,No,No phone service,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,95.22,539.93,Yes
CUST0099,Female,0,Yes,Yes,60,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Electronic check,59.85,3570.2,No
CUST0100,Male,0,No,Yes,14,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.82,515.29,No
CUST0101,Male,0,Yes,No,54,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.68,1156.12,No
CUST0102,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,One year,Yes,Mailed check,26.78,129.57,No
CUST0103,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,One year,No,Bank transfer (automatic),85.77,3341.55,No
CUST0104,Female,0,Yes,No,25,Yes,No,DSL,No,Yes,Month-to-month,Yes,Bank transfer (automatic),61.49,1495.9,No
CUST0105,Female,0,Yes,Yes,32,Yes,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,25.96,786.41,No
CUST0106,Female,0,No,No,59,Yes,No,Fiber optic,Yes,No,One year,Yes,Electronic check,88.85,5229.58,No
CUST0107,Female,0,Yes,Yes,63,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),25.23,1585.87,No
CUST0108,Female,0,No,Yes,38,Yes,No,DSL,Yes,No,Month-to-month,No,Credit card (automatic),53.1,2028.71,Yes
CUST0109,Female,0,Yes,No,53,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer (automatic),57.34,2989.67,Yes
CUST0110,Male,0,No,Yes,67,Yes,No,DSL,No,No,One year,No,Electronic check,52.3,3553.07,No
CUST0111,Female,0,No,No,28,Yes,No,No,No internet service,No internet service,Two year,No,Electronic check,29.02,798.95,No
CUST0112,Male,0,No,Yes,3,Yes,No,DSL,No,No,One year,Yes,Electronic check,70.72,246.97,No
CUST0113,Female,0,No,Yes,22,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer (automatic),61.75,1362.0,No
CUST0114,Female,0,Yes,No,38,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),28.06,1029.32,No
CUST0115,Male,1,Yes,No,62,Yes,No,DSL,No,No,Two year,Yes,Electronic check,69.93,4365.42,No
CUST0116,Female,1,No,Yes,57,No,No phone service,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.02,1048.12,No
CUST0117,Male,0,No,No,6,Yes,No,Fiber optic,No,No,Two year,No,Mailed check,103.05,621.04,Yes
CUST0118,Female,0,No,Yes,32,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.21,680.18,No
CUST0119,Female,0,No,No,10,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Credit card (automatic),90.95,868.25,No
CUST0120,Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,Two year,No,Electronic check,29.11,102.91,No
CUST0121,Female,0,Yes,No,59,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.91,1156.81,No
CUST0122,Male,0,Yes,No,49,Yes,No,DSL,No,No,Two year,Yes,Electronic check,54.08,2609.24,No
CUST0123,Female,0,No,No,59,Yes,Yes,DSL,No,No,Month-to-month,No,Mailed check,58.82,3446.73,No
CUST0124,Male,0,No,No,31,Yes,Yes,DSL,No,No,Month-to-month,Yes,Credit card (automatic),52.55,1669.28,No
CUST0125,Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,One year,Yes,Credit card (automatic),94.46,6496.17,No
CUST0126,Female,0,No,No,62,Yes,No,No,No internet service,No internet service,Two year,Yes,Mailed check,30.26,1891.51,No
CUST0127,Female,0,Yes,Yes,52,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Bank transfer (automatic),104.7,5447.88,No
CUST0128,Male,0,No,No,41,Yes,No,Fiber optic,No,No,One year,Yes,Bank transfer (automatic),83.08,3415.91,No
CUST0129,Female,0,Yes,No,31,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Credit card (automatic),59.07,1822.75,Yes
CUST0130,Female,0,Yes,No,22,Yes,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,25.24,535.28,No
CUST0131,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),34.08,91.17,No
CUST0132,Male,1,Yes,No,13,Yes,No,DSL,No,No,Month-to-month,No,Mailed check,71.67,956.14,No
CUST0133,Male,0,No,Yes,45,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Mailed check,86.67,3924.76,No
CUST0134,Male,0,No,Yes,42,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Mailed check,65.36,2762.19,No
CUST0135,Male,0,No,No,49,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Mailed check,91.0,4473.36,No
CUST0136,Male,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Credit card (automatic),93.99,1854.17,Yes
CUST0137,Male,0,Yes,No,54,Yes,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,70.78,3774.35,No
CUST0138,Male,0,Yes,No,36,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,Credit card (automatic),96.17,3492.99,Yes
CUST0139,Male,0,No,No,1,No,No phone service,DSL,No,No,Month-to-month,Yes,Electronic check,55.41,54.52,Yes
CUST0140,Male,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,Bank transfer (automatic),75.06,1106.58,No
CUST0141,Female,0,No,Yes,17,Yes,No,Fiber optic,No,No,One year,Yes,Credit card (automatic),100.43,1667.5,No
CUST0142,Male,0,No,Yes,24,Yes,No,DSL,No,No,One year,Yes,Bank transfer (automatic),51.49,1192.03,No
CUST0143,Female,0,No,No,58,Yes,No,Fiber optic,No,No,One year,No,Bank transfer (automatic),80.28,4641.13,No
CUST0144,Female,0,No,No,23,Yes,No,Fiber optic,No,No,Two year,Yes,Mailed check,86.28,2014.91,No
CUST0145,Female,0,Yes,Yes,46,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Credit card (automatic),89.94,4179.11,No
CUST0146,Male,1,No,No,8,Yes,No,DSL,No,No,Month-to-month,No,Credit card (automatic),67.77,581.84,Yes
CUST0147,Male,0,Yes,No,59,No,No phone service,Fiber optic,No,No,One year,Yes,Electronic check,96.38,5728.42,No
CUST0148,Male,0,No,No,59,No,No phone service,No,No internet service,No internet service,One year,No,Credit card (automatic),27.96,1690.41,No
CUST0149,Male,0,No,No,13,Yes,Yes,DSL,No,Yes,Two year,Yes,Mailed check,46.92,612.68,Yes
CUST0150,Female,0,No,No,39,Yes,No,DSL,No,No,Month-to-month,No,Electronic check,55.69,2143.85,No
CUST0151,Male,0,Yes,Yes,28,Yes,Yes,DSL,Yes,No,One year,Yes,Credit card (automatic),63.03,1794.64,No
CUST0152,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,103.11,6261.08,No
CUST0153,Male,0,Yes,No,16,Yes,No,DSL,No,No,Month-to-month,Yes,Credit card (automatic),57.14,890.96,No
CUST0154,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,75.96,125.25,No
CUST0155,Male,0,Yes,No,17,Yes,No,Fiber optic,No,No,One year,No,Electronic check,109.4,1861.3,No
CUST0156,Female,0,No,No,30,Yes,No,Fiber optic,Yes,No,Two year,Yes,Mailed check,105.57,3149.28,No
CUST0157,Male,0,No,No,13,Yes,No,Fiber optic,No,No,Month-to-month,No,Electronic check,100.85,1276.47,No
CUST0158,Female,0,Yes,No,13,Yes,No,Fiber optic,Yes,Yes,Two year,No,Bank transfer (automatic),86.46,1119.3,No
CUST0159,Male,0,Yes,Yes,43,Yes,No,Fiber optic,No,No,Month-to-month,No,Electronic check,77.35,3363.44,Yes
CUST0160,Female,0,Yes,No,21,Yes,Yes,DSL,No,No,Month-to-month,No,Mailed check,45.89,970.75,Yes
CUST0161,Male,0,No,No,55,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,73.01,4053.38,No
CUST0162,Male,1,No,No,40,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.07,772.39,No
CUST0163,Female,0,No,Yes,15,Yes,No,DSL,Yes,No,Month-to-month,No,Bank transfer (automatic),61.14,883.8,Yes
CUST0164,Female,0,No,No,52,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Electronic check,83.41,4344.88,No
CUST0165,Female,0,No,No,53,Yes,No,No,No internet service,No internet service,One year,No,Bank transfer (automatic),18.59,981.6,No
CUST0166,Male,0,No,Yes,52,Yes,No,DSL,No,Yes,One year,No,Credit card (automatic),59.46,3107.94,No
CUST0167,Female,0,Yes,Yes,30,No,No phone service,Fiber optic,No,No,Month-to-month,Yes,Bank transfer (automatic),75.63,2298.36,Yes
CUST0168,Male,0,No,No,33,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Credit card (automatic),78.79,2625.2,No
CUST0169,Male,0,Yes,No,57,No,No phone service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.63,1847.14,No
CUST0170,Female,0,No,No,52,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,33.56,1734.95,No
CUST0171,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Credit card (automatic),88.5,767.14,No
CUST0172,Male,1,No,No,54,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),68.0,3677.09,No
CUST0173,Male,0,No,No,1,Yes,No,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),101.17,62.24,No
CUST0174,Female,0,No,Yes,44,No,No phone service,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),84.2,3683.69,No
CUST0175,Female,0,No,No,9,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Mailed check,109.3,954.49,Yes
CUST0176,Female,1,Yes,Yes,32,Yes,No,DSL,No,No,Month-to-month,No,Electronic check,50.09,1592.54,Yes
CUST0177,Male,0,Yes,No,15,Yes,No,DSL,No,No,Month-to-month,No,Bank transfer (automatic),45.29,640.47,Yes
CUST0178,Male,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),30.19,315.46,No
CUST0179,Male,1,Yes,Yes,57,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Mailed check,99.35,5678.63,No
CUST0180,Male,1,No,No,8,Yes,No,DSL,No,Yes,Month-to-month,No,Credit card (automatic),57.66,472.3,No
CUST0181,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,One year,Yes,Electronic check,102.77,2795.63,No
CUST0182,Male,0,No,No,62,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.24,1580.92,No
CUST0183,Female,0,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Credit card (automatic),89.39,1034.11,No
CUST0184,Male,0,No,No,65,Yes,No,DSL,No,No,Month-to-month,No,Credit card (automatic),57.33,3705.56,Yes
CUST0185,Male,1,Yes,No,42,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Mailed check,61.65,2552.25,Yes
CUST0186,Male,0,No,Yes,62,Yes,No,DSL,Yes,No,Month-to-month,No,Electronic check,52.3,3276.9,No
CUST0187,Female,0,No,Yes,11,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.39,325.98,No
CUST0188,Male,0,No,No,43,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer (automatic),109.64,4684.67,No
CUST0189,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,76.24,1280.21,Yes
CUST0190,Female,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,Credit card (automatic),80.14,2611.14,No
CUST0191,Male,0,Yes,No,40,No,No phone service,Fiber optic,No,No,Month-to-month,No,Credit card (automatic),73.56,2951.82,No
CUST0192,Male,0,No,No,23,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.6,595.92,No
CUST0193,Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,One year,Yes,Mailed check,100.72,5616.78,No
CUST0194,Male,0,Yes,No,6,Yes,No,DSL,No,No,Two year,Yes,Bank transfer (automatic),49.44,267.65,No
CUST0195,Male,0,Yes,No,50,Yes,No,DSL,Yes,No,Two year,No,Mailed check,56.34,2845.39,No
CUST0196,Female,0,Yes,No,37,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Electronic check,95.24,3542.47,No
CUST0197,Female,0,Yes,No,64,No,No phone service,No,No internet service,No internet service,Month-to-month,No,Electronic check,32.73,2112.82,Yes
CUST0198,Female,0,Yes,No,54,Yes,No,DSL,Yes,No,One year,No,Mailed check,57.69,3120.52,No
CUST0199,Male,0,No,No,49,Yes,Yes,No,No internet service,No internet service,One year,Yes,Credit card (automatic),22.59,1113.27,No
CUST0200,Male,0,No,No,11,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Electronic check,103.65,1163.72,Yes
CUST0201,Male,0,No,No,49,Yes,No,DSL,No,No,Two year,Yes,Electronic check,54.78,2661.22,No
CUST0202,Female,0,Yes,No,21,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Credit card (automatic),49.01,1014.49,Yes
CUST0203,Male,0,Yes,Yes,66,Yes,No,DSL,Yes,Yes,Two year,Yes,Electronic check,59.68,3976.04,No
CUST0204,Male,0,No,Yes,63,Yes,No,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),105.41,6621.72,No
CUST0205,Female,0,Yes,No,28,Yes,No,DSL,No,No,One year,No,Electronic check,48.3,1357.03,No
CUST0206,Male,1,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,Two year,No,Electronic check,85.25,1469.51,No
CUST0207,Female,0,No,Yes,6,Yes,No,Fiber optic,No,Yes,One year,Yes,Credit card (automatic),101.11,656.65,Yes
CUST0208,Female,0,Yes,Yes,19,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,89.71,1698.02,No
CUST0209,Female,0,No,Yes,56,Yes,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,59.49,3324.25,No
CUST0210,Male,0,No,Yes,28,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,83.86,2382.34,No
CUST0211,Male,0,Yes,No,66,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Electronic check,84.77,5625.37,No
CUST0212,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,One year,No,Electronic check,105.55,4034.01,No
CUST0213,Male,0,No,No,37,No,No phone service,No,No internet service,No internet service,Month-to-month,No,Electronic check,23.27,857.31,No
CUST0214,Male,0,Yes,No,68,Yes,No,DSL,No,No,Month-to-month,No,Electronic check,57.24,3874.71,No
